instance,timestamp,model_id,alert_id,timestamp_relative,ext_asn_derivation,service_name,time_elapsed,ip_maneuver,attack_stage
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,5889659789fbb7afd83a9352734b467aeb2cf635205412e5b2ad1d18b2fdaf16,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,46b751946507ac738f6cf5ddd23913caa1d04d5981daac024f0518a603a29724,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,08d2729b00599e9f7f8d54479a520ad4a6d57e35f433fa9afeee7344702e87f1,2020-08-07 16:20:04.281,0,wsman,over 3 mins,UNDETERMINED_NEW_SRC_NEW_DST,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,4f88bc41d0be57abd3c78f6ba600593c0f4b47082be668f6cc43a46bed9c3967,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,54eff635690f68f3dc62607bc04fceb321b7f6d6d854bdba13226536372f7412,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,1aa41028e02c0416cded485093784f4e6ba781445046082a6cdf7360aab2e2dc,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,05b88157b4d2ce08a47c944b4e60d6f6736de827b8f637868152d4c5e08fb355,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,938c68dd7d50fd067f27fdd28c5454fbd8a2cbe13beec937dfbe4d14d473efc5,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,1307cb219e85a7b6b25018a6d7b9d579401798f927619548233bce4a2194f6ea,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,e57291882e8972d4fa1fcacdf93da6e4cb4df7e1f00b7c419bc2f61f05cba5f9,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,bd620ef20b887c27708ba36b2668c5e9ae67e25a007f790c08537ff66f8f1615,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,eb46a28116464b3c118fc77c8c9a4601cedf56ae7ccfd729878c99f5f9851f39,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,45682e2e3c7a6a10fb18a6e2afb215f5678ad316332a00fb6309aeb5aed19c12,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,c5b9ed329df7eafa59378fdf77589760bb73b4d5d839411945d002c8c82d25fc,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,2e11bfbc58ffeed783327ddecf4e4a136768740d72e95422b8e8ce6f59f3cf1c,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,ad1680761f339c8e7a660c88516c849e1f8df7ff8b590925ecf08c0fb2cda455,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,e842c5bb6e8d2d1f8b5cbcd402a1ea07237cd831521e5d5ddd61e128df7f8be4,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,6f191ae6499a33962e6ff809a3cdc1a04db19e756cd4e7a626d5ab967fa62f7c,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,d6b8516df079e60fcb943a98ac2361b438099ec56eb430eafc62f3d2c3aea521,2020-08-07 16:20:04.281,0,wsman,over 3 mins,UNDETERMINED_NEW_SRC_NEW_DST,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,b15eac37b7194fb9324fe3fa7822222e646ae38b33f99875b12826eef0d692a0,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,1c7bb355599fdf98626d375fa8e6eefc8b361df9c2e05298e37b9a88acc3eb1e,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,b87183c4daf8d411e99914c1282588e30fc1e52fdf18ce36e7308bdedfa565fb,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,be829c20242928ad0fd61ece1a8de56d2ae53a4a340bff95551a13cec51c5cca,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,25c0431b4574fed168a5d0eca616a1f765d390170efa3df1afda69f540bc4895,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,a4ee1066dcbf074733d7a1e374c253e25cd07d9388acc262485113b26021fba1,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,832270fb2837a1606bba790548866a7a08fc40b0ae5c42add300e7cffa18b7cf,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,8ecf5513732bd00aab002dd15ab259785909f6a309ab2fd4cb5833d410c5bbd1,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,14680dc15b2eb6914b9ee9126c9ca46634e3ef54adf719d5dc79d598da106321,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,c2e1772e6a46dbe9bd1b7c5a711076e91d7b78f63a3e4c75217f59a4a569127d,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,0ad3e5886f48dfccc1fda2cbc6c760f4da33bdedd8bccd063f245dca690bcaf6,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,6eca9d93934ddce6e7b7f9b25fa780ac0f40a89f741205f3abaf4b7aebd948a8,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,9bcf11ddd3e1b2896674684a3a47efa099647f9dcc83fd83dd88850b4c55a7e7,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,45d59c19c4a4b388acd467117c090c3d6a1e07c49a35d630b1054830894eae16,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,d5e92e9442c94502bd231d74d4b294c7e6987ec1944b49648312d2718861cd19,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,23fdcd17655cb2980e5ffa30680b12c6c25ad80b9a96e4b16cfdbc1b28e53e0e,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,8e5b757a98321f44743c9e12de8b9ee97776a4ab0b2e7739aa1703e834919a94,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,eae95049cb5088dc22fad7745a67bb1e648b012456f3b2e522a60d4c205e9289,2020-08-07 16:20:04.281,0,wsman,over 3 mins,UNDETERMINED_NEW_SRC_NEW_DST,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,b3529ef5d650fe123f6322f9765c474f7048e63d51021f4dc467d99e52944349,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,eec0b22e06e7745c53ee97550bbfff84c763f36aade2b50244451d9f1742425e,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,fcaa392ffdfde004c90ec961d078f15d88c9d985237e4129c59972ac4ff0804c,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,92b6fe05e8244378800ee072e8fbee7b69b2dee6e1f8ba94db876c4c3104588e,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,e1ca7bef9814cf7c78e5844e52be4097ac27abd78fca6e9afea35b883116fa25,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,230c597ccc9aa877a178ef012ea3eef0b5129bfcb64029d30bafa882648b2e84,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,d1a6fb2cf1b2606634c3141e429fbe8880a66f3ac9289c8aa7cbb14c93af4388,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,241937652bb60bbb76b405090427d415bbf0cd88c8b1a71713585cbfb8a35313,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,50b71a9127004c510c4f83ff4eafadce663f07628c875e6074351399e7f0b77f,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,7bb917b56e04e56d56094e82d42eec330f15815daa9983aef53df41c7b77c831,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,fc6b08a4c816ba8488858509fab9f7d272e139d8f98616415b14bf6756c49141,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,6d3a1c5e5ceed4490d3be8f79451f8be4b9e45d83d8c9d9123279fb1cb3c6d16,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,8940d450d1bf722f80cc912f1a7e72d31c9ac15e48f3cf03b073cd6af9e38470,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,c005e6f39aaab7e9c87814eed771caae5ffc60e529865f3c68c1b4cc015f873d,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,251edc77b29fa21ba1e33b03134c6f69d73ffac29d97e5bb47dd66e2a98ec3b9,2020-08-07 16:20:04.281,0,wsman,over 3 mins,UNDETERMINED_NEW_SRC_NEW_DST,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,2ca7b605317480f121e7bb11b7cf7f21e5c7f1a05c12fbdeb6148d613ce19849,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,f5d012dc52c5b10fcdb1519ebe9e6c189794061933143b823f8c8a445e9e5db6,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,b88b5e2b107fbd94c4699fcd6af65a26845b4dee6d54a39ffdc38e5bfd0edda8,2020-08-07 16:20:04.281,0,wsman,over 3 mins,UNDETERMINED_NEW_SRC_NEW_DST,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,e039b878650e177a798ca967a9d98cdb3fa64c0918dd2233c6c303d2954f5244,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,e594e5648e182379e5da223ff587ca0bd605fecb82b1cacf7c9feff5e59e2ad7,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,e50ffd6ae616e098e4d682498edb68b9e731a0d706b91c0ede9421a6fb887094,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,520087904e466760fafc8b5afc0465dbcd1625a996a7eb6027caf953d7f5425c,2020-08-07 16:20:04.281,0,wsman,1 sec,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,2f0d404172442721e736a2f22dc0ced64b403de1ea5281e6cd0b49a95336b4fc,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,53396a59b3423a47853634e34d9be2158255b04caa5e68653a7f52e52abf984e,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,4d08878366038a8957301645f86b239bf7666ae3ef25f7e431435998485b74ae,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,09ae08af5e967cacbda756e406f90e90ef7df4fdb175fb269033b3f98d935920,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,69ed9098548994453fe298588746f406f7c8276d5dd3768c7e231f59c6058f94,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,d3a960ef77258e27452c9e0ffdbdd4dd695ebbfacad0e58781679b150a37d3e1,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,ab8ee872423393e79dc037ea5f89c04c0e427fcc550da796e8ce8b0e55f067f6,2020-08-07 16:20:04.281,0,wsman,100 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
fa0d2a31-647c-4424-8351-d2662b62ccbe,2021-03-09 05:07:17.16,1,b1fe4a806d16247c3e2c85aebe917f77e0c162c5130dbf28c2158328502f68dd,2020-08-07 16:20:04.281,0,wsman,10 ms,UNDETERMINED_NO_CHANGE,COMMAND_AND_CONTROL
